"","ID_ENTIDAD","ID_MUNICIPIO","ID_HORA","ID_MINUTO","ID_DIA","DIASEMANA","TIPACCID","AUTOMOVIL","CAMPASAJ","PASCAMION","CAMIONETA","CAMION","TRACTOR","MOTOCICLET","CAUSAACCI","SEXO","ALIENTO","CINTURON","ID_EDAD","CLASACC","REGION","OTROSV"
"56","01","001","02","00","06",1,7,1,0,0,0,0,0,0,2,2,2,3,18,0,0,0
"57","01","001","02","45","06",1,7,1,0,0,0,0,0,0,2,4,3,3,0,0,0,0
"58","01","001","04","00","06",1,7,1,0,0,0,0,0,0,2,2,4,3,17,0,0,0
"59","01","001","05","10","06",1,7,1,0,0,0,0,0,0,2,2,4,3,22,0,0,0
"60","01","001","07","30","06",1,7,0,1,0,0,0,0,0,2,2,4,3,21,0,0,0
"61","01","001","11","45","06",1,9,2,0,0,0,0,0,0,2,4,3,3,0,0,0,0
"62","01","001","13","30","06",1,6,1,0,0,0,0,0,1,2,2,2,2,26,0,0,0
"63","01","001","15","40","06",1,7,0,0,0,1,0,0,0,2,4,3,3,0,0,0,0
"64","01","001","17","50","06",1,6,1,0,0,0,0,0,1,2,2,2,2,35,0,0,0
"65","01","001","20","50","06",1,7,0,0,0,1,0,0,0,2,2,4,3,39,0,0,0
"66","01","001","21","15","06",1,7,1,0,0,0,0,0,0,2,4,3,3,0,0,0,0
"67","01","001","22","10","06",1,9,1,1,0,0,0,0,0,2,2,4,3,22,0,0,0
"68","01","001","22","40","06",1,7,0,0,0,1,0,0,0,2,2,2,3,25,0,0,0
"69","01","001","23","40","06",1,9,1,0,0,1,0,0,0,2,2,4,3,21,0,0,0
"70","01","001","00","40","07",3,12,1,0,0,0,0,0,0,2,4,3,3,0,0,0,0
"71","01","001","02","20","07",3,9,2,0,0,0,0,0,0,2,4,3,3,0,0,0,0
"72","01","001","06","45","07",3,9,2,0,0,0,0,0,0,2,2,2,3,42,0,0,0
"73","01","001","10","00","07",3,9,1,1,0,0,0,0,0,2,2,2,3,56,0,0,0
"74","01","001","12","20","07",3,7,0,0,0,0,1,0,0,2,2,2,3,32,0,0,0
"75","01","001","14","10","07",3,9,2,0,0,0,0,0,0,2,2,2,3,47,0,0,0
"76","01","001","14","30","07",3,8,1,0,0,0,0,0,0,2,4,3,3,0,0,0,0
"77","01","001","20","50","07",3,9,1,0,0,0,0,1,0,2,4,3,3,0,0,0,0
"78","01","001","23","30","07",3,6,1,0,0,0,0,0,1,2,4,3,3,0,0,0,0
"79","01","001","10","00","08",4,7,1,0,0,0,0,0,0,2,2,2,2,37,0,0,0
"80","01","001","11","15","08",4,8,1,0,0,0,0,0,0,2,2,2,3,25,0,0,0
"81","01","001","12","05","08",4,9,2,0,0,0,0,0,0,2,3,2,3,50,0,0,0
"82","01","001","13","00","08",4,6,0,0,0,0,1,0,1,2,2,2,2,21,0,0,0
"83","01","001","13","00","08",4,6,0,0,0,1,0,0,1,2,2,2,3,70,0,0,0
"84","01","001","15","40","08",4,4,0,0,0,1,0,0,0,2,2,2,3,24,0,0,1
"85","01","001","16","00","08",4,6,1,0,0,0,0,0,1,2,2,2,3,27,0,0,0
"86","01","001","16","50","08",4,9,1,0,0,1,0,0,0,2,2,2,3,49,0,0,0
"87","01","001","19","00","08",4,9,2,0,0,0,0,0,0,2,2,2,3,38,0,0,0
"88","01","001","19","20","08",4,6,1,0,0,0,0,0,1,2,2,3,3,58,0,1,0
"89","01","001","22","30","08",4,9,1,0,0,1,0,0,0,2,2,2,3,67,0,0,0
"90","01","001","00","20","09",5,7,1,0,0,0,0,0,0,2,3,2,3,18,0,0,0
"91","01","001","01","20","09",5,6,0,0,0,0,0,0,1,2,2,2,3,29,0,0,1
"92","01","001","10","15","09",5,9,2,0,0,0,0,0,0,2,3,2,3,28,0,0,0
"93","01","001","11","40","09",5,6,1,0,0,0,0,0,1,2,2,2,3,62,0,0,0
"94","01","001","11","56","09",5,7,0,0,0,1,0,0,0,2,2,2,3,32,0,0,0
"95","01","001","13","45","09",5,9,2,0,0,0,0,0,0,2,4,3,3,0,0,0,0
"96","01","001","14","02","09",5,9,2,0,0,0,0,0,0,2,2,2,3,41,0,0,0
"97","01","001","17","14","09",5,7,1,0,0,0,0,0,0,2,2,2,3,42,0,0,0
"98","01","001","19","30","09",5,6,1,0,0,0,0,0,1,2,2,2,3,55,0,0,0
"99","01","001","13","55","10",2,9,2,0,0,0,0,0,0,2,2,2,3,27,0,0,0
"100","01","001","16","32","10",2,9,2,0,0,0,0,0,0,2,2,2,3,39,0,0,0
"101","01","001","23","00","10",2,7,1,0,0,0,0,0,0,2,2,2,3,34,0,0,0
"102","01","001","05","20","11",7,7,1,0,0,0,0,0,0,2,2,2,3,55,0,0,0
"103","01","001","05","40","11",7,7,1,0,0,0,0,0,0,2,2,2,3,54,0,0,0
"104","01","001","13","50","11",7,7,1,0,0,0,0,0,0,2,2,2,3,77,0,0,0
"105","01","001","14","15","11",7,9,0,1,0,1,0,0,0,2,2,2,3,18,0,0,0
"106","01","001","14","40","11",7,6,1,0,0,0,0,0,1,2,2,2,3,26,0,0,0
"107","01","001","21","15","11",7,9,1,0,0,0,1,0,0,2,4,3,3,0,0,0,0
"108","01","001","22","55","11",7,9,1,0,0,1,0,0,0,2,2,2,3,34,0,0,0
"109","01","001","23","10","11",7,7,1,0,0,0,0,0,0,2,2,4,3,21,0,0,0
"110","01","001","01","00","12",6,7,1,0,0,0,0,0,0,2,3,2,3,21,0,0,0
"111","01","001","02","00","12",6,7,1,0,0,0,0,0,0,2,4,3,3,0,0,0,0
"112","01","001","03","45","12",6,8,0,1,0,0,0,0,0,2,4,3,3,0,0,0,0
"113","01","001","07","10","12",6,9,1,1,0,1,0,0,0,2,2,4,3,21,0,0,0
"114","01","001","07","30","12",6,8,0,0,0,0,0,1,0,6,4,3,3,0,0,0,0
"115","01","001","07","30","12",6,7,0,0,0,1,0,0,0,2,2,4,3,30,0,0,0
"116","01","001","08","20","12",6,9,1,0,0,1,0,0,0,2,4,3,3,0,0,0,0
"117","01","001","13","05","12",6,7,0,0,0,0,0,1,0,4,2,2,3,42,0,0,0
"118","01","001","14","00","12",6,9,1,0,0,1,0,0,0,2,2,2,3,48,0,0,0
"119","01","001","14","00","12",6,7,1,0,0,0,0,0,0,2,4,3,3,0,0,0,0
"120","01","001","14","58","12",6,9,1,0,0,1,0,0,0,2,4,3,3,0,0,0,0
"121","01","001","16","20","12",6,9,1,1,0,0,0,0,0,2,2,2,3,33,0,0,0
"122","01","001","17","00","12",6,9,2,0,0,0,0,0,0,2,2,4,3,50,0,0,0
"123","01","001","20","05","12",6,9,1,0,0,1,0,0,0,2,2,4,3,24,0,0,0
"124","01","001","21","00","12",6,9,2,0,0,0,0,0,0,2,2,4,3,28,0,0,0
"125","01","001","23","25","12",6,7,1,0,0,0,0,0,0,2,4,3,3,0,0,0,0
"126","01","001","23","30","12",6,7,0,0,0,1,0,0,0,2,2,2,3,23,0,0,0
"127","01","001","00","50","13",1,9,2,0,0,0,0,0,0,2,2,2,3,22,0,0,0
"128","01","001","00","55","13",1,9,2,0,0,0,0,0,0,2,2,2,3,30,0,0,0
"129","01","001","01","45","13",1,9,2,1,0,0,0,0,0,2,2,4,3,28,0,0,0
"130","01","001","02","13","13",1,12,1,0,0,0,0,0,0,2,4,3,3,0,0,1,0
"131","01","001","02","20","13",1,9,1,0,0,1,0,0,0,2,2,4,3,50,0,0,0
"132","01","001","02","50","13",1,9,2,0,0,0,0,0,0,2,2,2,3,34,0,0,0
"133","01","001","04","55","13",1,7,1,0,0,0,0,0,0,2,2,4,3,35,0,0,0
"134","01","001","05","10","13",1,6,0,0,0,1,0,0,1,2,4,3,3,0,0,0,0
"135","01","001","06","50","13",1,9,2,0,0,0,0,0,0,2,4,3,3,0,0,0,0
"136","01","001","09","10","13",1,6,1,0,0,0,0,0,1,2,2,2,3,36,0,0,0
"137","01","001","13","45","13",1,8,1,0,0,0,0,0,0,6,2,2,3,35,1,0,1
"138","01","001","15","20","13",1,9,2,0,0,0,0,0,0,2,2,2,3,35,0,0,0
"139","01","001","16","00","13",1,9,2,0,0,0,0,0,0,2,2,2,3,49,0,0,0
"140","01","001","17","00","13",1,7,0,0,0,1,0,0,0,2,2,4,3,65,0,0,0
"141","01","001","20","30","13",1,6,0,1,0,0,0,0,1,2,2,2,2,21,0,0,0
"142","01","001","20","53","13",1,6,1,0,0,0,0,0,1,2,2,2,2,42,0,0,0
"143","01","001","21","03","13",1,7,1,0,0,0,0,0,0,2,2,2,3,26,0,0,0
"144","01","001","22","20","13",1,9,2,0,0,0,0,0,0,2,3,2,3,46,0,0,0
"145","01","001","01","00","14",3,8,0,0,0,1,0,0,0,2,4,3,3,0,0,0,0
"146","01","001","02","28","14",3,13,1,0,0,0,0,0,0,2,4,3,3,0,0,1,0
"147","01","001","06","00","14",3,7,1,0,0,0,0,0,0,2,2,4,3,27,0,0,0
"148","01","001","08","40","14",3,9,2,0,0,0,0,0,0,2,2,2,3,53,0,0,0
"149","01","001","09","45","14",3,6,1,0,0,0,0,0,1,2,2,2,3,19,0,0,0
"150","01","001","10","28","14",3,9,1,0,0,0,0,1,0,2,4,3,3,0,0,0,0
"151","01","001","17","00","14",3,9,2,0,0,0,0,0,0,2,4,3,3,0,0,0,0
"152","01","001","17","45","14",3,9,2,0,0,0,0,0,0,2,2,2,3,29,0,0,0
"153","01","001","20","00","14",3,9,2,0,0,0,0,0,0,2,2,2,3,30,0,0,0
"154","01","001","20","20","14",3,6,1,0,0,0,0,0,1,2,2,2,3,27,0,0,0
"155","01","001","00","20","15",4,7,1,0,0,0,0,0,0,2,2,2,3,18,0,0,0
"156","01","001","02","20","15",4,7,1,0,0,0,0,0,0,2,2,4,3,22,0,0,0
"157","01","001","08","40","15",4,9,1,0,0,0,1,0,0,2,2,2,3,63,0,0,0
"158","01","001","09","05","15",4,6,1,0,0,0,0,0,1,2,2,2,2,21,0,0,0
"159","01","001","09","30","15",4,9,0,0,0,2,0,0,0,2,2,2,3,18,0,0,0
"160","01","001","12","45","15",4,9,2,0,0,0,0,0,0,2,3,2,3,50,0,0,0
"161","01","001","13","00","15",4,7,1,0,0,0,0,0,0,2,2,2,2,19,0,0,0
"162","01","001","13","40","15",4,7,1,0,0,0,0,0,0,2,2,2,2,17,0,0,0
"163","01","001","15","03","15",4,9,2,0,0,0,0,0,0,2,4,3,3,0,0,0,0
"164","01","001","16","15","15",4,9,2,0,0,0,0,0,0,2,2,2,3,34,0,0,0
"165","01","001","18","23","15",4,7,1,0,0,0,0,0,0,2,3,2,3,37,0,0,0
"166","01","001","19","45","15",4,9,1,0,0,2,0,0,0,2,2,2,3,52,0,0,0
"167","01","001","20","50","15",4,9,2,0,0,0,0,0,0,2,2,2,3,52,0,0,0
"168","01","001","21","00","15",4,9,1,0,1,0,0,0,0,2,2,2,3,24,0,0,0
"169","01","001","23","30","15",4,6,0,0,0,1,0,0,1,2,2,2,3,33,0,0,0
"170","01","001","04","00","16",5,7,1,0,0,0,0,0,0,2,2,2,3,30,0,0,0
"171","01","001","04","10","16",5,9,2,0,0,0,0,0,0,2,4,3,3,0,0,0,0
"172","01","001","14","00","16",5,9,1,0,0,1,0,0,0,2,3,2,3,50,0,0,0
"173","01","001","16","20","16",5,6,1,0,0,0,0,0,1,2,2,2,3,48,0,0,0
"174","01","001","18","00","16",5,9,0,0,0,2,0,0,0,2,2,4,3,36,0,0,0
"175","01","001","19","30","16",5,9,2,0,0,0,0,0,0,2,2,2,3,62,0,0,0
"176","01","001","20","54","16",5,8,1,0,0,0,0,0,0,2,2,2,3,41,0,0,0
"177","01","001","21","40","16",5,7,1,0,0,0,0,0,0,4,2,2,3,26,0,0,0
"178","01","001","22","30","16",5,9,1,0,1,0,0,0,0,2,4,3,3,0,0,0,0
"179","01","001","01","00","17",2,7,0,0,0,1,0,0,0,2,4,3,3,0,0,0,0
"180","01","001","01","20","17",2,7,1,0,0,0,0,0,0,2,2,4,3,42,0,0,0
"181","01","001","01","30","17",2,9,2,0,0,0,0,0,0,2,2,3,3,42,0,1,0
"182","01","001","05","30","17",2,7,1,0,0,0,0,0,0,2,4,3,3,0,0,0,0
"183","01","001","06","00","17",2,7,1,0,0,0,0,0,0,2,2,4,3,45,0,0,0
"184","01","001","08","00","17",2,9,2,0,0,0,0,0,0,2,2,2,3,26,0,0,0
"185","01","001","10","23","17",2,9,2,0,0,0,0,0,0,2,4,3,3,0,0,0,0
"186","01","001","12","15","17",2,9,2,0,0,0,0,0,0,2,2,2,3,35,0,0,0
"187","01","001","15","00","17",2,6,0,0,0,0,1,0,1,2,2,2,3,32,0,0,0
"188","01","001","18","50","17",2,9,1,1,0,0,0,0,0,2,2,2,3,33,0,0,0
"189","01","001","18","50","17",2,8,1,0,0,0,0,0,0,2,2,2,3,25,0,0,0
"190","01","001","20","40","17",2,6,1,0,0,0,0,0,1,2,2,2,3,56,0,0,0
"191","01","001","22","00","17",2,9,2,0,0,0,0,0,0,2,2,2,3,33,0,0,0
"192","01","001","23","40","17",2,7,1,0,0,0,0,0,0,2,2,4,3,40,0,0,0
"193","01","001","23","45","17",2,9,2,0,0,0,0,0,0,2,2,2,3,28,0,0,0
"194","01","001","07","10","18",7,9,4,0,0,0,0,0,0,2,2,2,3,66,0,0,0
"195","01","001","09","30","18",7,9,2,0,0,0,0,0,0,2,2,2,3,28,0,0,0
"196","01","001","09","30","18",7,9,2,0,0,0,0,0,0,2,4,3,3,0,0,0,0
"197","01","001","10","00","18",7,9,0,2,0,0,0,0,0,2,2,2,3,36,0,0,0
"198","01","001","13","00","18",7,7,0,0,0,0,1,0,0,2,2,2,3,35,0,0,0
"199","01","001","13","23","18",7,7,1,0,0,0,0,0,0,2,2,2,2,47,0,0,0
"200","01","001","19","25","18",7,9,2,0,0,0,0,0,0,2,2,2,3,67,0,0,0
"201","01","001","19","45","18",7,9,1,1,0,0,0,0,0,2,2,2,3,18,0,0,0
"202","01","001","20","35","18",7,6,1,0,0,0,0,1,1,2,2,2,2,49,1,0,0
"203","01","001","23","30","18",7,7,0,1,0,0,0,0,0,2,2,2,3,35,0,0,0
"204","01","001","01","25","19",6,7,1,0,0,0,0,0,0,2,2,2,3,24,0,0,0
"205","01","001","01","30","19",6,7,1,0,0,0,0,0,0,2,2,4,3,31,0,0,0
"206","01","001","01","48","19",6,7,1,0,0,0,0,0,0,2,2,2,3,42,0,0,0
"207","01","001","02","25","19",6,9,1,1,0,0,0,0,0,2,2,4,3,24,0,0,0
"208","01","001","02","50","19",6,9,1,0,1,0,0,0,0,2,2,2,3,21,0,0,0
"209","01","001","05","00","19",6,9,0,1,1,0,0,0,0,2,2,2,3,30,0,0,0
"210","01","001","08","55","19",6,9,1,0,0,1,0,0,0,2,2,2,3,30,0,0,0
"211","01","001","10","20","19",6,7,1,0,0,0,0,0,0,2,2,4,3,37,0,0,0
"212","01","001","11","30","19",6,9,3,1,0,0,0,0,0,2,2,2,3,22,0,0,0
"213","01","001","13","00","19",6,9,0,0,0,2,0,0,0,2,4,3,3,0,0,0,0
"214","01","001","17","00","19",6,9,1,0,0,1,0,0,0,2,4,3,3,0,0,0,0
"215","01","001","17","05","19",6,9,0,2,0,0,0,0,0,2,2,2,3,30,0,0,0
"216","01","001","19","40","19",6,7,1,0,0,0,0,0,0,2,2,2,2,35,0,0,0
"217","01","001","19","50","19",6,9,2,0,0,0,0,0,0,2,2,2,3,30,0,0,0
"218","01","001","19","50","19",6,7,1,0,0,0,0,0,0,2,2,2,2,19,0,0,0
"219","01","001","20","30","19",6,9,1,1,0,0,0,0,0,2,2,4,3,35,0,0,0
